Title,Price,Available_Colors,Available_Size,Item_Context,Url
Slim Fit Easy-iron shirt,899,Light blue/Checked,"S,M,L,XL",None,https://eg.hm.com/en/buy-slim-fit-easy-iron-shirt-light-blue-checked.html
Wool-blend coat,3299,Black,"S,M,L,XL",None,https://eg.hm.com/en/buy-wool-blend-coat-black-1.html
Regular Fit Teddy jacket,2499,Light beige,"M,L,XL",None,https://eg.hm.com/en/buy-regular-fit-teddy-jacket-light-beige-0.html
Wool-blend coat,4999,Dark beige,"M,XL",None,https://eg.hm.com/en/buy-wool-blend-coat-dark-beige-0.html
Straight Regular Jeans,2499,Blue,"30/32,32/32,34/32,36/32,38/32",Casual,https://eg.hm.com/en/buy-straight-regular-jeans-blue.html
Straight Regular Jeans,2999,Dark grey,29/32,None,https://eg.hm.com/en/buy-straight-regular-jeans-dark-grey-0.html
Relaxed Fit Jersey top,999,Green/Cream striped,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-relaxed-fit-jersey-top-green-cream-striped.html
DryMove™ Sports joggers,1699,Black,"L,XL",None,https://eg.hm.com/en/buy-drymovetm-sports-joggers-black-0.html
Water-repellent puffer gilet,2499,Beige,"S,XXL",None,https://eg.hm.com/en/buy-water-repellent-puffer-gilet-beige.html
Fine-knit jumper,1499,Cream,"L,XL",None,https://eg.hm.com/en/buy-fine-knit-jumper-cream-1.html
Regular Fit Cable-knit cardigan,2499,Black,M,Casual,https://eg.hm.com/en/buy-regular-fit-cable-knit-cardigan-black.html
Loose Fit Cargo trousers,2999,Beige,"30,32,34,36",None,https://eg.hm.com/en/buy-loose-fit-cargo-trousers-beige.html
Relaxed Fit Sweatshirt,1999,White/Snoopy,"S,M,XL",Casual,https://eg.hm.com/en/buy-relaxed-fit-sweatshirt-white-snoopy.html
Pyjama bottoms,749,Light khaki green/Checked,"XS,S,M,L,XL",Lounge,https://eg.hm.com/en/buy-pyjama-bottoms-light-khaki-green-checked.html
3-pack Regular Fit T-shirts,799,Turquoise,"XS,S,M,L,XXL",None,https://eg.hm.com/en/buy-3-pack-regular-fit-t-shirts-turquoise.html
Regular Fit Rib-knit polo shirt,1999,Cream,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-regular-fit-rib-knit-polo-shirt-cream.html
DryMove™ Sports hoodie,2499,Red,"S,M,L,XL",None,https://eg.hm.com/en/buy-drymovetm-sports-hoodie-red.html
DryMove™ Sports top,699,Grey,"XS,S,M,L",Sport,https://eg.hm.com/en/buy-drymovetm-sports-top-grey.html
Lightweight puffer jacket,1699,Black,"XS,S",None,https://eg.hm.com/en/buy-lightweight-puffer-jacket-black-0.html
Straight Regular Jeans,2999,Grey,"29/32,38/32",None,https://eg.hm.com/en/buy-straight-regular-jeans-grey.html
Relaxed Fit Jersey top,999,Brown/Cream striped,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-relaxed-fit-jersey-top-brown-cream-striped.html
Relaxed Fit Nylon cargo joggers,1999,Black,"XS,S,L,XL,XXL",None,https://eg.hm.com/en/buy-relaxed-fit-nylon-cargo-joggers-black.html
DryMove™ Sports hoodie,2499,Light grey marl/Move,"S,M,L,XL",None,https://eg.hm.com/en/buy-drymovetm-sports-hoodie-light-grey-marl-move.html
Slim Jeans,2799,Denim blue,29/32,Casual,https://eg.hm.com/en/buy-slim-jeans-denim-blue.html
Freefit® Slim Denim shorts,1599,Denim blue,"30,32,34,36,38",None,https://eg.hm.com/en/buy-freefitr-slim-denim-shorts-denim-blue.html
Regular Fit Linen-blend T-shirt,749,Blue,S,None,https://eg.hm.com/en/buy-regular-fit-linen-blend-t-shirt-blue.html
ThermoMove™ Hybrid jacket,2799,Black,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-thermomovetm-hybrid-jacket-black-0.html
Sports socks in DryMove™,649,Black/Striped,"40/42,43/45",None,https://eg.hm.com/en/buy-sports-socks-drymovetm-black-striped.html
Relaxed Fit Sweatshirt,649,Light blue,"XS,S,M,L,XL,XXL",Casual,https://eg.hm.com/en/buy-relaxed-fit-sweatshirt-light-blue-0.html
Relaxed Fit Hoodie,1199,White/Butterfly,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-relaxed-fit-hoodie-white-butterfly.html
Relaxed Fit Hoodie,1499,Black/Detroit,"XS,S,M,L",None,https://eg.hm.com/en/buy-relaxed-fit-hoodie-black-detroit.html
Relaxed Fit Hoodie,899,Dark brown,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-relaxed-fit-hoodie-dark-brown.html
Relaxed Fit Sweatshirt,699,Beige,"XS,S,M,XL",None,https://eg.hm.com/en/buy-relaxed-fit-sweatshirt-beige-0.html
Regular Fit Long-sleeved polo shirt,899,White,"XS,S,M,L,XL",None,https://eg.hm.com/en/buy-regular-fit-long-sleeved-polo-shirt-white.html
Twill shacket,2499,Grey,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-twill-shacket-grey.html
Hooded top,1999,Light purple/The Simpsons,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-hooded-top-light-purple-simpsons.html
Cotton T-shirt Regular Fit,399,Light grey,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-cotton-t-shirt-regular-fit-light-grey.html
